time,close,volume,open,high,low,adjclose
05/08/2025,197.49,50478870,197.72,200.05,194.6796,197.49
05/07/2025,196.25,68616940,199.17,199.44,193.25,196.25
05/06/2025,198.51,51216480,198.21,200.65,197.02,198.51
05/05/2025,198.89,69018450,203.1,204.1,198.21,198.89
05/02/2025,205.35,101010600,206.09,206.99,202.16,205.35
05/01/2025,213.32,57365680,209.08,214.56,208.9,213.32
04/30/2025,212.5,52286450,209.3,213.58,206.6705,212.5
04/29/2025,211.21,36827630,208.693,212.24,208.37,211.21
04/28/2025,210.14,38743070,210,211.5,207.46,210.14
04/25/2025,209.28,38222260,206.365,209.75,206.2,209.28
04/24/2025,208.37,47310990,204.89,208.8299,202.94,208.37
04/23/2025,204.6,52929170,206,208,202.799,204.6
04/22/2025,199.74,52976370,196.12,201.59,195.97,199.74
04/21/2025,193.16,46742540,193.265,193.8,189.8112,193.16
04/17/2025,196.98,52164680,197.2,198.8335,194.42,196.98
04/16/2025,194.27,59732420,198.36,200.7,192.37,194.27
04/15/2025,202.14,51343870,201.855,203.51,199.8,202.14
04/14/2025,202.52,101352900,211.44,212.94,201.1621,202.52
04/11/2025,198.15,87435920,186.1,199.54,186.06,198.15
04/10/2025,190.42,121880000,189.065,194.7799,183,190.42
04/09/2025,198.85,184395900,171.95,200.61,171.89,198.85
